player_name,team,position,stat_type,line_score,is_taco,flash_sale_line,start_time
Jalen Johnson,ATL,F,Points,22.5,False,0.5,2026-03-16T19:10:00.000-04:00
Jalen Brunson,NYK,G,Points,28.5,False,,2026-03-13T19:40:00.000-04:00
OG Anunoby,NYK,F-G,Points,17.5,False,,2026-03-13T19:40:00.000-04:00
Aaron Nesmith,IND,G-F,Points,14.5,False,,2026-03-13T19:40:00.000-04:00
Mikal Bridges,NYK,G-F,Points,14.5,False,,2026-03-13T19:40:00.000-04:00
Jalen Brunson,NYK,G,Points,14.5,False,,2026-03-13T19:40:00.000-04:00
Jarace Walker,IND,F,Points,13.5,False,,2026-03-13T19:40:00.000-04:00
Andrew Nembhard,IND,G-F,Points,12.5,False,,2026-03-13T19:40:00.000-04:00
Landry Shamet,NYK,G,Points,12.5,False,,2026-03-13T19:40:00.000-04:00
Jordan Clarkson,NYK,G,Points,10.5,False,,2026-03-13T19:40:00.000-04:00
Jalen Brunson,NYK,G,Points,9.5,False,,2026-03-13T19:40:00.000-04:00
Ivica Zubac,IND,C,Points,9.5,False,,2026-03-13T19:40:00.000-04:00
OG Anunoby,NYK,F-G,Points,9,False,,2026-03-13T19:40:00.000-04:00
Mikal Bridges,NYK,G-F,Points,7.5,False,,2026-03-13T19:40:00.000-04:00
Mohamed Diawara,NYK,F,Points,7.5,False,,2026-03-13T19:40:00.000-04:00
Mitchell Robinson,NYK,C-F,Points,7.5,False,,2026-03-13T19:40:00.000-04:00
Jalen Brunson,NYK,G,Assists,7,False,,2026-03-13T19:40:00.000-04:00
Landry Shamet,NYK,G,Points,6.5,False,,2026-03-13T19:40:00.000-04:00
Ivica Zubac,IND,C,Rebounds,6.5,False,,2026-03-13T19:40:00.000-04:00
Jarace Walker,IND,F,Rebounds,5.5,False,,2026-03-13T19:40:00.000-04:00
OG Anunoby,NYK,F-G,Rebounds,5.5,False,,2026-03-13T19:40:00.000-04:00
Andrew Nembhard,IND,G-F,Points,4.5,False,,2026-03-13T19:40:00.000-04:00
Mikal Bridges,NYK,G-F,Rebounds,4,False,,2026-03-13T19:40:00.000-04:00
Mitchell Robinson,NYK,C-F,Points,3.5,False,,2026-03-13T19:40:00.000-04:00
Jalen Brunson,NYK,G,Assists,2.5,False,,2026-03-13T19:40:00.000-04:00
Andrew Nembhard,IND,G-F,Rebounds,0.5,False,,2026-03-13T19:40:00.000-04:00
Ivica Zubac,IND,C,Assists,0.5,False,,2026-03-13T19:40:00.000-04:00
Devin Booker,PHX,G,Points,26.5,False,,2026-03-13T19:40:00.000-04:00
Brandon Ingram,TOR,F,Points,21.5,False,,2026-03-13T19:40:00.000-04:00
RJ Barrett,TOR,F-G,Points,20.5,False,,2026-03-13T19:40:00.000-04:00
Jalen Green,PHX,G,Points,19.5,False,,2026-03-13T19:40:00.000-04:00
Scottie Barnes,TOR,F-G,Points,17.5,False,,2026-03-13T19:40:00.000-04:00
Immanuel Quickley,TOR,G,Points,16.5,False,,2026-03-13T19:40:00.000-04:00
Grayson Allen,PHX,G,Points,15.5,False,,2026-03-13T19:40:00.000-04:00
Devin Booker,PHX,G,Points,13.5,False,,2026-03-13T19:40:00.000-04:00
Collin Gillespie,PHX,G,Points,12.5,False,,2026-03-13T19:40:00.000-04:00
Jakob Poeltl,TOR,C,Points,10.5,False,,2026-03-13T19:40:00.000-04:00
Brandon Ingram,TOR,F,Points,10.5,False,,2026-03-13T19:40:00.000-04:00
Jalen Green,PHX,G,Points,10.5,False,,2026-03-13T19:40:00.000-04:00
RJ Barrett,TOR,F-G,Points,10.5,False,,2026-03-13T19:40:00.000-04:00
Royce O'Neale,PHX,F,Points,8.5,False,,2026-03-13T19:40:00.000-04:00
Scottie Barnes,TOR,F-G,Points,8.5,False,,2026-03-13T19:40:00.000-04:00
Jakob Poeltl,TOR,C,Rebounds,8.5,False,,2026-03-13T19:40:00.000-04:00
Sandro Mamukelashvili,TOR,F-C,Points,8.5,False,,2026-03-13T19:40:00.000-04:00
Grayson Allen,PHX,G,Points,7.5,False,,2026-03-13T19:40:00.000-04:00
Immanuel Quickley,TOR,G,Points,7.5,False,,2026-03-13T19:40:00.000-04:00
Scottie Barnes,TOR,F-G,Rebounds,7,False,,2026-03-13T19:40:00.000-04:00
Collin Gillespie,PHX,G,Points,6.5,False,,2026-03-13T19:40:00.000-04:00
Oso Ighodaro,PHX,F,Points,6.5,False,,2026-03-13T19:40:00.000-04:00
Devin Booker,PHX,G,Points,6,False,,2026-03-13T19:40:00.000-04:00
Immanuel Quickley,TOR,G,Assists,6,False,,2026-03-13T19:40:00.000-04:00
Oso Ighodaro,PHX,F,Rebounds,6,False,,2026-03-13T19:40:00.000-04:00
RJ Barrett,TOR,F-G,Rebounds,6,False,,2026-03-13T19:40:00.000-04:00
Jakob Poeltl,TOR,C,Points,5.5,False,,2026-03-13T19:40:00.000-04:00
Brandon Ingram,TOR,F,Rebounds,5.5,False,,2026-03-13T19:40:00.000-04:00
Collin Gillespie,PHX,G,Assists,5,False,,2026-03-13T19:40:00.000-04:00
Jalen Green,PHX,G,Points,5,False,,2026-03-13T19:40:00.000-04:00
Royce O'Neale,PHX,F,Rebounds,5,False,,2026-03-13T19:40:00.000-04:00
Devin Booker,PHX,G,Assists,5,False,,2026-03-13T19:40:00.000-04:00
Scottie Barnes,TOR,F-G,Assists,4.5,False,,2026-03-13T19:40:00.000-04:00
Devin Booker,PHX,G,Rebounds,4,False,,2026-03-13T19:40:00.000-04:00
Collin Gillespie,PHX,G,Rebounds,4,False,,2026-03-13T19:40:00.000-04:00
Immanuel Quickley,TOR,G,Rebounds,4,False,,2026-03-13T19:40:00.000-04:00
Brandon Ingram,TOR,F,Assists,4,False,,2026-03-13T19:40:00.000-04:00
Oso Ighodaro,PHX,F,Points,3.5,False,,2026-03-13T19:40:00.000-04:00
Jalen Green,PHX,G,Rebounds,3.5,False,,2026-03-13T19:40:00.000-04:00
Royce O'Neale,PHX,F,Points,2.5,False,,2026-03-13T19:40:00.000-04:00
Brandon Ingram,TOR,F,Rebounds,1.5,False,,2026-03-13T19:40:00.000-04:00
Grayson Allen,PHX,G,Rebounds,0.5,False,,2026-03-13T19:40:00.000-04:00
Jalen Green,PHX,G,Assists,0.5,False,,2026-03-13T19:40:00.000-04:00
Donovan Mitchell,CLE,G,Points,26.5,False,,2026-03-13T19:40:00.000-04:00
James Harden,CLE,G,Points,21.5,False,,2026-03-13T19:40:00.000-04:00
Cooper Flagg,DAL,F,Points,20.5,False,,2026-03-13T19:40:00.000-04:00
Evan Mobley,CLE,C,Points,18.5,False,,2026-03-13T19:40:00.000-04:00
Naji Marshall,DAL,F,Points,14.5,False,,2026-03-13T19:40:00.000-04:00
Max Christie,DAL,G,Points,12.5,False,,2026-03-13T19:40:00.000-04:00
Donovan Mitchell,CLE,G,Points,12.5,False,,2026-03-13T19:40:00.000-04:00
Klay Thompson,DAL,G,Points,12.5,False,,2026-03-13T19:40:00.000-04:00
Sam Merrill,CLE,G,Points,11.5,False,,2026-03-13T19:40:00.000-04:00
Marvin Bagley,DAL,F,Points,11.5,False,,2026-03-13T19:40:00.000-04:00
Cooper Flagg,DAL,F,Points,10.5,False,,2026-03-13T19:40:00.000-04:00
Evan Mobley,CLE,C,Points,10.5,False,,2026-03-13T19:40:00.000-04:00
Jaylon Tyson,CLE,G-F,Points,10.5,False,,2026-03-13T19:40:00.000-04:00
James Harden,CLE,G,Points,10,False,,2026-03-13T19:40:00.000-04:00
Dennis Schröder,CLE,G,Points,9.5,False,,2026-03-13T19:40:00.000-04:00
Evan Mobley,CLE,C,Rebounds,9.5,False,,2026-03-13T19:40:00.000-04:00
Keon Ellis,CLE,G,Points,8.5,False,,2026-03-13T19:40:00.000-04:00
James Harden,CLE,G,Assists,8.5,False,,2026-03-13T19:40:00.000-04:00
Marvin Bagley,DAL,F,Rebounds,8.5,False,,2026-03-13T19:40:00.000-04:00
Naji Marshall,DAL,F,Points,7.5,False,,2026-03-13T19:40:00.000-04:00
Donovan Mitchell,CLE,G,Points,7,False,,2026-03-13T19:40:00.000-04:00
Cooper Flagg,DAL,F,Rebounds,6.5,False,,2026-03-13T19:40:00.000-04:00
Max Christie,DAL,G,Points,6.5,False,,2026-03-13T19:40:00.000-04:00
James Harden,CLE,G,Points,5.5,False,,2026-03-13T19:40:00.000-04:00
Dean Wade,CLE,F-C,Points,5.5,False,,2026-03-13T19:40:00.000-04:00
Donovan Mitchell,CLE,G,Assists,5.5,False,,2026-03-13T19:40:00.000-04:00
Donovan Mitchell,CLE,G,Rebounds,5,False,,2026-03-13T19:40:00.000-04:00
Cooper Flagg,DAL,F,Points,5,False,,2026-03-13T19:40:00.000-04:00
James Harden,CLE,G,Rebounds,5,False,,2026-03-13T19:40:00.000-04:00
Evan Mobley,CLE,C,Points,4.5,False,,2026-03-13T19:40:00.000-04:00
Jaylon Tyson,CLE,G-F,Rebounds,4.5,False,,2026-03-13T19:40:00.000-04:00
Jaylon Tyson,CLE,G-F,Points,4.5,False,,2026-03-13T19:40:00.000-04:00
Dean Wade,CLE,F-C,Rebounds,4.5,False,,2026-03-13T19:40:00.000-04:00
Naji Marshall,DAL,F,Rebounds,4,False,,2026-03-13T19:40:00.000-04:00
Cooper Flagg,DAL,F,Assists,4,False,,2026-03-13T19:40:00.000-04:00
Klay Thompson,DAL,G,Rebounds,2.5,False,,2026-03-13T19:40:00.000-04:00
Marvin Bagley,DAL,F,Points,2.5,False,,2026-03-13T19:40:00.000-04:00
Dennis Schröder,CLE,G,Rebounds,0.5,False,,2026-03-13T19:40:00.000-04:00
Klay Thompson,DAL,G,Rebounds,0.5,False,,2026-03-13T19:40:00.000-04:00
Cade Cunningham,DET,G,Points,24.5,False,,2026-03-13T19:40:00.000-04:00
Jalen Duren,DET,C,Points,18.5,False,,2026-03-13T19:40:00.000-04:00
Ty Jerome,MEM,G-F,Points,16.5,False,,2026-03-13T19:40:00.000-04:00
GG Jackson,MEM,F,Points,14.5,False,,2026-03-13T19:40:00.000-04:00
Jaylen Wells,MEM,F,Points,12.5,False,,2026-03-13T19:40:00.000-04:00
Cedric Coward,MEM,G,Points,11.5,False,,2026-03-13T19:40:00.000-04:00
Tobias Harris,DET,F,Points,11.5,False,,2026-03-13T19:40:00.000-04:00
Cade Cunningham,DET,G,Points,11.5,False,,2026-03-13T19:40:00.000-04:00
Duncan Robinson,DET,F,Points,10.5,False,,2026-03-13T19:40:00.000-04:00
Jalen Duren,DET,C,Rebounds,10.5,False,,2026-03-13T19:40:00.000-04:00
Olivier-Maxence Prosper,MEM,F,Points,10.5,False,,2026-03-13T19:40:00.000-04:00
Isaiah Stewart,DET,F-C,Points,10.5,False,,2026-03-13T19:40:00.000-04:00
Jalen Duren,DET,C,Points,10,False,,2026-03-13T19:40:00.000-04:00
Cade Cunningham,DET,G,Assists,10,False,,2026-03-13T19:40:00.000-04:00
Marcus Sasser,DET,G,Points,9.5,False,,2026-03-13T19:40:00.000-04:00
Kevin Huerter,DET,G-F,Points,9.5,False,,2026-03-13T19:40:00.000-04:00
Ty Jerome,MEM,G-F,Points,8.5,False,,2026-03-13T19:40:00.000-04:00
Taylor Hendricks,MEM,F,Points,8.5,False,,2026-03-13T19:40:00.000-04:00
GG Jackson,MEM,F,Points,7,False,,2026-03-13T19:40:00.000-04:00
Tobias Harris,DET,F,Points,6.5,False,,2026-03-13T19:40:00.000-04:00
Isaiah Stewart,DET,F-C,Points,6.5,False,,2026-03-13T19:40:00.000-04:00
Cade Cunningham,DET,G,Points,6.5,False,,2026-03-13T19:40:00.000-04:00
Cade Cunningham,DET,G,Rebounds,5.5,False,,2026-03-13T19:40:00.000-04:00
Cedric Coward,MEM,G,Points,5.5,False,,2026-03-13T19:40:00.000-04:00
Isaiah Stewart,DET,F-C,Rebounds,5.5,False,,2026-03-13T19:40:00.000-04:00
Ronald Holland,DET,F,Rebounds,5.5,False,,2026-03-13T19:40:00.000-04:00
Tobias Harris,DET,F,Rebounds,5,False,,2026-03-13T19:40:00.000-04:00
Taylor Hendricks,MEM,F,Rebounds,5,False,,2026-03-13T19:40:00.000-04:00
GG Jackson,MEM,F,Rebounds,4.5,False,,2026-03-13T19:40:00.000-04:00
Jalen Duren,DET,C,Rebounds,3.5,False,,2026-03-13T19:40:00.000-04:00
Tobias Harris,DET,F,Points,3.5,False,,2026-03-13T19:40:00.000-04:00
GG Jackson,MEM,F,Points,3.5,False,,2026-03-13T19:40:00.000-04:00
Duncan Robinson,DET,F,Rebounds,2.5,False,,2026-03-13T19:40:00.000-04:00
Tobias Harris,DET,F,Rebounds,1.5,False,,2026-03-13T19:40:00.000-04:00
Marcus Sasser,DET,G,Rebounds,0.5,False,,2026-03-13T19:40:00.000-04:00
Kevin Durant,HOU,F,Points,25.5,False,,2026-03-13T20:10:00.000-04:00
Trey Murphy,NOP,F,Points,20.5,False,,2026-03-13T20:10:00.000-04:00
Zion Williamson,NOP,F,Points,20.5,False,,2026-03-13T20:10:00.000-04:00
Alperen Sengun,HOU,C,Points,19.5,False,,2026-03-13T20:10:00.000-04:00
Amen Thompson,HOU,G-F,Points,18.5,False,,2026-03-13T20:10:00.000-04:00
Dejounte Murray,NOP,G,Points,16.5,False,,2026-03-13T20:10:00.000-04:00
Saddiq Bey,NOP,G-F,Points,16.5,False,,2026-03-13T20:10:00.000-04:00
Jabari Smith,HOU,F,Points,15.5,False,,2026-03-13T20:10:00.000-04:00
Reed Sheppard,HOU,G,Points,15.5,False,,2026-03-13T20:10:00.000-04:00
Kevin Durant,HOU,F,Points,12.5,False,,2026-03-13T20:10:00.000-04:00
Tari Eason,HOU,F,Points,11.5,False,,2026-03-13T20:10:00.000-04:00
Zion Williamson,NOP,F,Points,11.5,False,,2026-03-13T20:10:00.000-04:00
Trey Murphy,NOP,F,Points,10.5,False,,2026-03-13T20:10:00.000-04:00
Alperen Sengun,HOU,C,Points,9.5,False,,2026-03-13T20:10:00.000-04:00
Amen Thompson,HOU,G-F,Points,9.5,False,,2026-03-13T20:10:00.000-04:00
Alperen Sengun,HOU,C,Rebounds,8.5,False,,2026-03-13T20:10:00.000-04:00
Dejounte Murray,NOP,G,Points,8.5,False,,2026-03-13T20:10:00.000-04:00
Reed Sheppard,HOU,G,Points,8.5,False,,2026-03-13T20:10:00.000-04:00
Saddiq Bey,NOP,G-F,Points,8.5,False,,2026-03-13T20:10:00.000-04:00
Jeremiah Fears,NOP,G,Points,8.5,False,,2026-03-13T20:10:00.000-04:00
Herbert Jones,NOP,F,Points,8,False,,2026-03-13T20:10:00.000-04:00
Derik Queen,NOP,C,Points,7.5,False,,2026-03-13T20:10:00.000-04:00
Jabari Smith,HOU,F,Points,7.5,False,,2026-03-13T20:10:00.000-04:00
Kevin Durant,HOU,F,Points,7,False,,2026-03-13T20:10:00.000-04:00
Amen Thompson,HOU,G-F,Rebounds,7,False,,2026-03-13T20:10:00.000-04:00
Jabari Smith,HOU,F,Rebounds,6.5,False,,2026-03-13T20:10:00.000-04:00
Tari Eason,HOU,F,Points,6.5,False,,2026-03-13T20:10:00.000-04:00
Tari Eason,HOU,F,Rebounds,6,False,,2026-03-13T20:10:00.000-04:00
Amen Thompson,HOU,G-F,Assists,6,False,,2026-03-13T20:10:00.000-04:00
Dejounte Murray,NOP,G,Assists,5.5,False,,2026-03-13T20:10:00.000-04:00
Zion Williamson,NOP,F,Rebounds,5.5,False,,2026-03-13T20:10:00.000-04:00
Trey Murphy,NOP,F,Points,5.5,False,,2026-03-13T20:10:00.000-04:00
Alperen Sengun,HOU,C,Assists,5.5,False,,2026-03-13T20:10:00.000-04:00
Kevin Durant,HOU,F,Rebounds,5,False,,2026-03-13T20:10:00.000-04:00
Dejounte Murray,NOP,G,Rebounds,5,False,,2026-03-13T20:10:00.000-04:00
Saddiq Bey,NOP,G-F,Rebounds,5,False,,2026-03-13T20:10:00.000-04:00
Kevin Durant,HOU,F,Assists,5,False,,2026-03-13T20:10:00.000-04:00
Trey Murphy,NOP,F,Rebounds,4.5,False,,2026-03-13T20:10:00.000-04:00
Amen Thompson,HOU,G-F,Points,4.5,False,,2026-03-13T20:10:00.000-04:00
Zion Williamson,NOP,F,Points,4.5,False,,2026-03-13T20:10:00.000-04:00
Herbert Jones,NOP,F,Points,4.5,False,,2026-03-13T20:10:00.000-04:00
Reed Sheppard,HOU,G,Assists,4,False,,2026-03-13T20:10:00.000-04:00
Trey Murphy,NOP,F,Assists,3.5,False,,2026-03-13T20:10:00.000-04:00
Derik Queen,NOP,C,Points,3.5,False,,2026-03-13T20:10:00.000-04:00
Dejounte Murray,NOP,G,Points,3.5,False,,2026-03-13T20:10:00.000-04:00
Jabari Smith,HOU,F,Points,3.5,False,,2026-03-13T20:10:00.000-04:00
Amen Thompson,HOU,G-F,Assists,1.5,False,,2026-03-13T20:10:00.000-04:00
Jabari Smith,HOU,F,Rebounds,1.5,False,,2026-03-13T20:10:00.000-04:00
Tari Eason,HOU,F,Rebounds,1.5,False,,2026-03-13T20:10:00.000-04:00
Derik Queen,NOP,C,Assists,0.5,False,,2026-03-13T20:10:00.000-04:00
Jeremiah Fears,NOP,G,Assists,0.5,False,,2026-03-13T20:10:00.000-04:00
Herbert Jones,NOP,F,Assists,0.5,False,,2026-03-13T20:10:00.000-04:00
Anthony Edwards,MIN,G,Points,29.5,False,,2026-03-13T22:10:00.000-04:00
Julius Randle,MIN,F-C,Points,18.5,False,,2026-03-13T22:10:00.000-04:00
Brandin Podziemski,GSW,G,Points,15.5,False,,2026-03-13T22:10:00.000-04:00
De'Anthony Melton,GSW,G,Points,15.5,False,,2026-03-13T22:10:00.000-04:00
Anthony Edwards,MIN,G,Points,14.5,False,,2026-03-13T22:10:00.000-04:00
