id,player_name,team,position,combo,stat_type,line_score,flash_sale_line,odds_type,is_taco,discount_pct,is_promo,projection_type,description,start_time,status
10465975,Cooper Flagg,DAL,F,False,Points,20.5,14.5,standard,True,29,True,Single Stat,ATL,2026-03-10T19:40:00.000-04:00,pre_game
10462748,VJ Edgecombe,PHI,G,False,Fantasy Score,43,,demon,False,,False,Fantasy Score,MEM,2026-03-10T19:05:00.000-04:00,pre_game
10462734,Quentin Grimes,PHI,G,False,Fantasy Score,39,,demon,False,,False,Fantasy Score,MEM,2026-03-10T19:05:00.000-04:00,pre_game
10462743,Ty Jerome,MEM,G-F,False,Fantasy Score,36.5,,demon,False,,False,Fantasy Score,PHI,2026-03-10T19:05:00.000-04:00,pre_game
10462740,GG Jackson,MEM,F,False,Fantasy Score,35,,demon,False,,False,Fantasy Score,PHI,2026-03-10T19:05:00.000-04:00,pre_game
10462737,VJ Edgecombe,PHI,G,False,Fantasy Score,31,,goblin,False,,False,Fantasy Score,MEM,2026-03-10T19:05:00.000-04:00,pre_game
10462741,Jaylen Wells,MEM,F,False,Fantasy Score,27.5,,demon,False,,False,Fantasy Score,PHI,2026-03-10T19:05:00.000-04:00,pre_game
10462745,Quentin Grimes,PHI,G,False,Fantasy Score,27,,goblin,False,,False,Fantasy Score,MEM,2026-03-10T19:05:00.000-04:00,pre_game
10462733,Ty Jerome,MEM,G-F,False,Fantasy Score,25.5,,goblin,False,,False,Fantasy Score,PHI,2026-03-10T19:05:00.000-04:00,pre_game
10462730,GG Jackson,MEM,F,False,Fantasy Score,23,,goblin,False,,False,Fantasy Score,PHI,2026-03-10T19:05:00.000-04:00,pre_game
10462731,Jaylen Wells,MEM,F,False,Fantasy Score,17.5,,goblin,False,,False,Fantasy Score,PHI,2026-03-10T19:05:00.000-04:00,pre_game
10457179,Quentin Grimes,PHI,G,False,Pts+Rebs+Asts,39.5,,demon,False,,False,Single Stat,MEM,2026-03-10T19:10:00.000-04:00,pre_game
10457198,VJ Edgecombe,PHI,G,False,Pts+Rebs+Asts,39.5,,demon,False,,False,Single Stat,MEM,2026-03-10T19:10:00.000-04:00,pre_game
10458309,VJ Edgecombe + Ty Jerome,PHI/MEM,G,True,Points (Combo),36.5,,standard,False,,False,Single Stat,MEM/PHI,2026-03-10T19:10:00.000-04:00,pre_game
10458342,Quentin Grimes + Ty Jerome,PHI/MEM,G,True,Points (Combo),36.5,,standard,False,,False,Single Stat,MEM/PHI,2026-03-10T19:10:00.000-04:00,pre_game
10462732,VJ Edgecombe,PHI,G,False,Fantasy Score,36.5,,standard,False,,False,Fantasy Score,MEM,2026-03-10T19:10:00.000-04:00,pre_game
10458307,Quentin Grimes + GG Jackson,PHI/MEM,G,True,Points (Combo),35.5,,standard,False,,False,Single Stat,MEM/PHI,2026-03-10T19:10:00.000-04:00,pre_game
